DemandRegion,Product,ShipmentSize,ServiceLevel,Period,DemandBundle,AmountDemanded,SolverInclude
ST_1060_DT_PA_McMurray_15317-2520,DT,Outbound,DTR_SVC,Peak_2021,ST_1060_DT_PA_McMurray_15317-2520,2242,Yes
ST_1062_DT_AR_Cabot_72023-2846,DT,Outbound,DTR_SVC,Peak_2021,ST_1062_DT_AR_Cabot_72023-2846,1691,Yes
ST_1063_DT_TN_Smyrna_37167,DT,Outbound,DTR_SVC,Peak_2021,ST_1063_DT_TN_Smyrna_37167,2184,Yes
ST_1065_DT_VA_Franklin_23851,DT,Outbound,DTR_SVC,Peak_2021,ST_1065_DT_VA_Franklin_23851,2132,Yes
ST_1066_DT_TX_Jacksonville_75766-3028,DT,Outbound,DTR_SVC,Peak_2021,ST_1066_DT_TX_Jacksonville_75766-3028,2322,Yes
ST_1067_DT_SC_Florence_29505-3445,DT,Outbound,DTR_SVC,Peak_2021,ST_1067_DT_SC_Florence_29505-3445,1859,Yes
ST_1068_DT_NY_New Hartford_13413-2850,DT,Outbound,DTR_SVC,Peak_2021,ST_1068_DT_NY_New Hartford_13413-2850,995,Yes
ST_1069_DT_NY_Ontario_14519-8966,DT,Outbound,DTR_SVC,Peak_2021,ST_1069_DT_NY_Ontario_14519-8966,1015,Yes
ST_106_DT_MS_Tupelo_38801-3164,DT,Outbound,DTR_SVC,Peak_2021,ST_106_DT_MS_Tupelo_38801-3164,1540,Yes
ST_1073_DT_SC_Anderson_29624-3009,DT,Outbound,DTR_SVC,Peak_2021,ST_1073_DT_SC_Anderson_29624-3009,1980,Yes
ST_1074_DT_MI_Holland_49424-8558,DT,Outbound,DTR_SVC,Peak_2021,ST_1074_DT_MI_Holland_49424-8558,2668,Yes
ST_1076_DT_CT_Enfield_06082-3825,DT,Outbound,DTR_SVC,Peak_2021,ST_1076_DT_CT_Enfield_06082-3825,3691,Yes
ST_1077_DT_TN_Fayetteville_37334,DT,Outbound,DTR_SVC,Peak_2021,ST_1077_DT_TN_Fayetteville_37334,1452,Yes
ST_1078_DT_PA_Clarion_16214-8569,DT,Outbound,DTR_SVC,Peak_2021,ST_1078_DT_PA_Clarion_16214-8569,1514,Yes
ST_1079_DT_MD_Hagerstown_21740-6963,DT,Outbound,DTR_SVC,Peak_2021,ST_1079_DT_MD_Hagerstown_21740-6963,2540,Yes
ST_1080_DT_IL_Northlake_60164-2310,DT,Outbound,DTR_SVC,Peak_2021,ST_1080_DT_IL_Northlake_60164-2310,1903,Yes
ST_1081_DT_FL_Jensen Beach_34957-4452,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1081_DT_FL_Jensen Beach_34957-4452,713,Yes
ST_1081_DT_FL_Jensen Beach_34957-4452,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1081_DT_FL_Jensen Beach_34957-4452,1631,Yes
ST_1083_DT_GA_Norcross_30092-4659,DT,Outbound,DTR_SVC,Peak_2021,ST_1083_DT_GA_Norcross_30092-4659,2427,Yes
ST_1084_DT_CA_Reseda_91335-6302,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1084_DT_CA_Reseda_91335-6302,734,Yes
ST_1084_DT_CA_Reseda_91335-6302,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1084_DT_CA_Reseda_91335-6302,1740,Yes
ST_1085_DT_VA_Woodstock_22664-2005,DT,Outbound,DTR_SVC,Peak_2021,ST_1085_DT_VA_Woodstock_22664-2005,1563,Yes
ST_1086_DT_OH_Columbus_43228-1482,DT,Outbound,DTR_SVC,Peak_2021,ST_1086_DT_OH_Columbus_43228-1482,2569,Yes
ST_1087_DT_FL_Melbourne_32935-8923,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1087_DT_FL_Melbourne_32935-8923,875,Yes
ST_1087_DT_FL_Melbourne_32935-8923,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1087_DT_FL_Melbourne_32935-8923,2119,Yes
ST_1088_DT_MD_Columbia_21045-4852,DT,Outbound,DTR_SVC,Peak_2021,ST_1088_DT_MD_Columbia_21045-4852,1722,Yes
ST_108_DT_GA_Augusta_30909-6428,DT,Outbound,DTR_SVC,Peak_2021,ST_108_DT_GA_Augusta_30909-6428,4234,Yes
ST_1091_DT_TX_Paris_75462-5205,DT,Outbound,DTR_SVC,Peak_2021,ST_1091_DT_TX_Paris_75462-5205,3016,Yes
ST_1092_DT_OH_Columbus_43085-4902,DT,Outbound,DTR_SVC,Peak_2021,ST_1092_DT_OH_Columbus_43085-4902,1567,Yes
ST_1093_DT_NY_Williamsville_14221-4131,DT,Outbound,DTR_SVC,Peak_2021,ST_1093_DT_NY_Williamsville_14221-4131,2502,Yes
ST_1095_DT_AL_Dothan_36301-5889,DT,Outbound,DTR_SVC,Peak_2021,ST_1095_DT_AL_Dothan_36301-5889,1908,Yes
ST_1096_DT_PA_Aliquippa_15001-2902,DT,Outbound,DTR_SVC,Peak_2021,ST_1096_DT_PA_Aliquippa_15001-2902,1549,Yes
ST_1098_DT_NC_Erwin_28339-9629,DT,Outbound,DTR_SVC,Peak_2021,ST_1098_DT_NC_Erwin_28339-9629,2643,Yes
ST_1099_DT_WI_Milwaukee_53220-4348,DT,Outbound,DTR_SVC,Peak_2021,ST_1099_DT_WI_Milwaukee_53220-4348,2495,Yes
ST_109_DT_MI_Adrian_49221-4213,DT,Outbound,DTR_SVC,Peak_2021,ST_109_DT_MI_Adrian_49221-4213,3236,Yes
ST_10_DT_SC_Anderson_29621-1173,DT,Outbound,DTR_SVC,Peak_2021,ST_10_DT_SC_Anderson_29621-1173,3443,Yes
ST_1100_DT_IN_Indianapolis_46221-3527,DT,Outbound,DTR_SVC,Peak_2021,ST_1100_DT_IN_Indianapolis_46221-3527,1377,Yes
ST_1102_DT_TX_Converse_78109-1057,DT,Outbound,DTR_SVC,Peak_2021,ST_1102_DT_TX_Converse_78109-1057,2233,Yes
ST_1103_DT_NC_Rockingham_28379-4980,DT,Outbound,DTR_SVC,Peak_2021,ST_1103_DT_NC_Rockingham_28379-4980,2899,Yes
ST_1104_DT_NC_Kannapolis_28083-2607,DT,Outbound,DTR_SVC,Peak_2021,ST_1104_DT_NC_Kannapolis_28083-2607,1570,Yes
ST_1105_DT_WI_Menasha_54952-1117,DT,Outbound,DTR_SVC,Peak_2021,ST_1105_DT_WI_Menasha_54952-1117,1803,Yes
ST_1106_DT_TX_Cedar Park_78613-7598,DT,Outbound,DTR_SVC,Peak_2021,ST_1106_DT_TX_Cedar Park_78613-7598,2289,Yes
ST_1107_DT_WI_Fond du Lac_54937-9784,DT,Outbound,DTR_SVC,Peak_2021,ST_1107_DT_WI_Fond du Lac_54937-9784,2585,Yes
ST_1108_DT_TX_Denton_76205-7525,DT,Outbound,DTR_SVC,Peak_2021,ST_1108_DT_TX_Denton_76205-7525,3214,Yes
ST_1109_DT_MI_Cheboygan_49721-2265,DT,Outbound,DTR_SVC,Peak_2021,ST_1109_DT_MI_Cheboygan_49721-2265,1405,Yes
ST_110_DT_AL_Huntsville_35802-1627,DT,Outbound,DTR_SVC,Peak_2021,ST_110_DT_AL_Huntsville_35802-1627,2620,Yes
ST_1110_DT_MD_Bowie_20715-3011,DT,Outbound,DTR_SVC,Peak_2021,ST_1110_DT_MD_Bowie_20715-3011,1702,Yes
ST_1111_DT_NC_Clinton_28328-3823,DT,Outbound,DTR_SVC,Peak_2021,ST_1111_DT_NC_Clinton_28328-3823,2760,Yes
ST_1112_DT_NC_Randleman_27317-9748,DT,Outbound,DTR_SVC,Peak_2021,ST_1112_DT_NC_Randleman_27317-9748,1506,Yes
ST_1113_DT_CT_Norwich_06360-6043,DT,Outbound,DTR_SVC,Peak_2021,ST_1113_DT_CT_Norwich_06360-6043,2133,Yes
ST_1114_DT_GA_Buford_30519-4387,DT,Outbound,DTR_SVC,Peak_2021,ST_1114_DT_GA_Buford_30519-4387,2052,Yes
ST_1115_DT_NC_Winston Salem_27127-7276,DT,Outbound,DTR_SVC,Peak_2021,ST_1115_DT_NC_Winston Salem_27127-7276,1456,Yes
ST_1116_DT_WI_Marinette_54143-3824,DT,Outbound,DTR_SVC,Peak_2021,ST_1116_DT_WI_Marinette_54143-3824,2604,Yes
ST_1117_DT_KY_Lexington_40503-4488,DT,Outbound,DTR_SVC,Peak_2021,ST_1117_DT_KY_Lexington_40503-4488,1755,Yes
ST_1119_DT_TX_Pantego_76013-3302,DT,Outbound,DTR_SVC,Peak_2021,ST_1119_DT_TX_Pantego_76013-3302,1925,Yes
